127.0.0.1, 2014-02-25 08:31:17, GET, /, HTTP/1.1, 303, 0.604311
127.0.0.1, 2014-02-25 08:31:17, GET, /welcome/default/index, HTTP/1.1, 200, 0.744954
127.0.0.1, 2014-02-25 08:31:18, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000586
127.0.0.1, 2014-02-25 08:31:25, GET, /admin/default/index, HTTP/1.1, 200, 0.245584
127.0.0.1, 2014-02-25 08:31:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000371
127.0.0.1, 2014-02-25 08:31:32, POST, /admin/default/index, HTTP/1.1, 303, 0.077392
127.0.0.1, 2014-02-25 08:31:32, GET, /admin/default/site, HTTP/1.1, 200, 0.084927
127.0.0.1, 2014-02-25 08:31:34, POST, /admin/default/check_version, HTTP/1.1, 200, 1.022411
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/default/index, HTTP/1.1, 200, 0.284556
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/css/calendar.css, HTTP/1.1, 200, 0.000559
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/js/jquery.js, HTTP/1.1, 200, 0.002225
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003908
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/js/calendar.js, HTTP/1.1, 200, 0.000514
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/js/web2py.js, HTTP/1.1, 200, 0.000462
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/css/web2py.css, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000430
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000519
127.0.0.1, 2014-02-25 08:31:37, GET, /py2manager/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000456
